Team,Year,attend,n345,avgstar,pf,pa,confcham,natchamp,yrsrank,wksrank,finpoll,numbowls,expec
Temple (PA),2005,0.488996642,0.130890921,3.859815635,1.058440947,7.440324499,0,0,0,0,0,0.107979901,-0.982610868
Tennessee,2005,4.131340064,3.40316395,6.902034855,2.027854151,3.062784181,0,0,2.704277767,1.760045831,0,2.91545733,2.00041673
Texas,2005,3.19980818,1.963363817,6.844993244,6.449565397,3.182307466,4.332901922,10.82377497,2.868173389,2.737849071,2.382038443,3.347376935,1.890148433
Texas-El Paso,2005,1.839218701,0.392672763,3.992912726,3.778733101,4.646467709,0,0,0.163895622,0.586681944,0,0,-0.438672851
Texas A&M,2005,3.061537516,2.748709344,6.14148005,3.481973957,5.12456085,0,0,2.089669184,0.391121296,0,1.835658319,1.027216795
Texas Christian,2005,1.200086459,0.916236448,4.525301089,3.937004644,3.331711573,1.895644591,0,1.352138884,2.346727775,2.382038443,1.295758814,0.03582417
Texas Tech,2005,1.9572153,1.701581975,5.076703323,4.678902504,3.376532805,0,0,1.352138884,2.737849071,2.382038443,0.539899506,0.353878537
Toledo (OH),2005,0.837725932,0.261781842,3.973898856,4.24365576,3.899447177,0,0,0.532660772,0.195560648,0,0,-0.723222939
Troy (AL),2005,0.74587827,0.261781842,3.973898856,1.731095007,3.809804713,0,0,0,0,0,0,-0.762301961
Tulane (LA),2005,0.546862205,0.130890921,3.897843375,2.314721323,5.199262903,0,0,0,0,0,0.323939703,-0.835796104
Tulsa (OK),2005,0.876469364,0.916236448,4.411217869,4.253547731,4.556825245,4.603708292,0,0,0,0,0.323939703,-0.523375651
UCLA,2005,2.465833244,2.094254738,5.704161037,4.639334618,6.125568363,0,0,2.745251673,2.346727775,2.382038443,1.727678418,0.818225251
Utah,2005,1.594893171,0.785345527,4.354176258,3.561109728,4.317778675,0,0,0.696556395,0.195560648,0,0.215959802,-0.34712
Utah St.,2005,0.418382993,0,3.802774025,2.057530065,5.378547831,0,0,0,0,0,0,-0.971646205
Vanderbilt (TN),2005,1.383512997,0.261781842,3.954884986,2.957699469,4.795871816,0,0,0.696556395,0.195560648,0,0.107979901,-0.596630403
Virginia,2005,2.341232215,2.356036581,5.970355219,3.16543087,4.168374569,0,0,1.10629545,1.368924536,0,0.539899506,0.657220789
Virginia Tech,2005,2.500276117,2.617818423,5.856271998,4.352467446,2.509988988,1.08322548,0,1.188243261,2.737849071,2.382038443,1.295758814,0.97091821
Wake Forest (NC),2005,1.110619464,0.654454606,4.297134648,2.660940325,4.721169762,0,0,0,0,0,0.107979901,-0.549957213
Washington,2005,2.469980212,0.654454606,4.829523011,2.344397238,5.034918386,0,0,0,0,0,1.619698517,0.282099601
Washington St.,2005,1.19451877,1.308909211,4.753467531,3.6402455,5.169382082,0,0,0.983373734,0.195560648,0,0.431919605,-0.28802015
West Virginia,2005,2.161299882,1.832472896,4.71543979,3.808409015,3.197247877,1.624838221,0,1.597982317,1.760045831,2.382038443,1.079799011,0.280773732
Western Michigan,2005,0.725949785,0.261781842,3.954884986,3.5017579,5.109620439,0,0,0,0,0,0,-0.820235766
Wisconsin,2005,3.16978106,1.963363817,5.209800414,4.411819275,4.616586888,0,0,1.925773561,2.151167127,2.382038443,0.97181911,0.71160203
Wyoming,2005,0.792915639,0.261781842,4.011926596,2.680724268,4.43730196,0,0,0.778504206,0.195560648,0,0.215959802,-0.700329849
Air Force (CO),2006,1.470588962,0,2.756082708,2.896417966,4.2965164,0,0,0,0,0,0.215238168,-0.62507446
Akron (OH),2006,0.623745626,0.455942678,3.62466635,2.450016631,3.855483259,0,0,0,0,0,0,-0.779843112
Alabama,2006,3.562526313,2.621670401,6.029974895,3.093665068,3.556718874,0,0,0,0,0,4.089525197,1.899598697
