"Coach","Year","Rating","Rank"
"A.W. Shepard",1893,1514.06458483381,8
"Aaron M. McCreary",1923,NA,NA
"Aaron M. McCreary",1924,NA,NA
"Aaron M. McCreary",1925,1480.52180574783,786
"Aaron M. McCreary",1926,1475.67794934183,806
"Aaron M. McCreary",1927,1473.00061296083,824
"Aaron M. McCreary",1928,1461.93969618479,845
"Aaron M. McCreary",1929,1454.30394877309,866
"Adam Scheier",2013,1549.0891190763,55
"Addison W. Kelly",1900,1490.24137706207,193
"Adolph J. Lewandowski",1943,1462.63142244456,1070
"Adolph J. Lewandowski",1944,1439.81157585106,1090
"Adrian H. ""Ad"" Lindsey",1927,1478.90333084976,810
"Adrian H. ""Ad"" Lindsey",1928,1499.48478221356,658
"Adrian H. ""Ad"" Lindsey",1929,1490.20103918719,807
"Adrian H. ""Ad"" Lindsey",1930,1511.42928134239,49
"Adrian H. ""Ad"" Lindsey",1931,1492.74093736998,817
"Adrian H. ""Ad"" Lindsey",1932,1498.2989827243,780
"Adrian H. ""Ad"" Lindsey",1933,1474.49801463262,911
"Adrian H. ""Ad"" Lindsey",1934,1466.84100006413,929
"Adrian H. ""Ad"" Lindsey",1935,1464.01692030184,948
"Adrian H. ""Ad"" Lindsey",1936,1435.86721010915,972
"Adrian H. ""Ad"" Lindsey",1937,1433.10704197615,989
"Adrian H. ""Ad"" Lindsey",1938,1433.47319906731,1000
"Al Conover",1972,1517.50456809821,49
"Al Conover",1973,1509.08151098499,61
"Al Conover",1974,1475.59491586753,1472
"Al Conover",1975,1430.77977975814,1531
"Al Golden",2006,1414.89715415253,1962
"Al Golden",2007,1413.47295030357,1979
"Al Golden",2008,1429.62593448334,1978
"Al Golden",2009,1508.11728649447,83
"Al Golden",2010,1506.88094978459,90
"Al Golden",2011,1502.63718007277,109
"Al Golden",2012,1527.61674491005,78
"Al Golden",2013,1559.21322198142,43
"Al Golden",2014,1517.6038065983,84
"Al Golden",2015,1537.15639879585,62
"Al Groh",1981,1465.99239027068,1587
"Al Groh",1982,1428.14889965323,1633
"Al Groh",1983,1415.27247222384,1658
"Al Groh",1984,1442.44669287111,1653
"Al Groh",1985,1423.94044101764,1681
"Al Groh",1986,1441.27356141562,1683
"Al Groh",2001,1499.28785196613,1712
"Al Groh",2002,1547.77680460692,50
"Al Groh",2003,1567.91425257921,36
"Al Groh",2004,1576.04904832979,28
"Al Groh",2005,1567.94841578708,31
"Al Groh",2006,1525.36788533131,63
"Al Groh",2007,1567.44252908905,32
"Al Groh",2008,1512.74077243739,74
"Al Groh",2009,1471.57695692494,1954
"Al Kincaid",1981,1553.23994955135,32
"Al Kincaid",1982,1504.58877766529,81
"Al Kincaid",1983,1509.09724927078,72
"Al Kincaid",1984,1486.75380621091,1586
"Al Kincaid",1985,1442.30349475438,1668
"Al Kincaid",1990,1424.95194398344,1739
"Al Kincaid",1991,1390.53811480167,1765
"Al Luginbill",1989,1497.32037843065,1589
"Al Luginbill",1990,1505.46592884668,81
"Al Luginbill",1991,1535.0931157595,46
"Al Luginbill",1992,1517.76773137204,62
"Al Luginbill",1993,1501.85636830451,98
"Al Michaels",1971,1468.46836146466,1446
"Al Onofrio",1971,1427.06378564588,1476
"Al Onofrio",1972,1474.96972426417,1441
"Al Onofrio",1973,1531.30072940198,38
"Al Onofrio",1974,1551.1855795135,27
"Al Onofrio",1975,1548.21855833555,32
"Al Onofrio",1976,1545.13355673752,35
"Al Onofrio",1977,1511.25279576167,70
"Alan ""Al"" Molde",1987,1504.07664615021,76
"Alan ""Al"" Molde",1988,1538.5084730205,44
"Alan ""Al"" Molde",1989,1500.66613871115,107
"Alan ""Al"" Molde",1990,1525.77893820119,56
"Alan ""Al"" Molde",1991,1521.69077670481,61
"Alan ""Al"" Molde",1992,1557.62171629406,29
"Alan ""Al"" Molde",1993,1584.47688979801,18
"Alan ""Al"" Molde",1994,1554.39716283483,33
"Alan ""Al"" Molde",1995,1554.26346669548,32
"Alan ""Al"" Molde",1996,1479.96607199632,1754
"Alan Gooch",2003,1428.66954089025,1908
"Albert A. ""Al"" Exendine",1923,1501.94332104431,99
"Albert A. ""Al"" Exendine",1924,1485.53471227401,752
"Albert A. ""Al"" Exendine",1925,1476.51079200697,792
"Albert A. ""Al"" Exendine",1934,1490.6964247784,878
"Albert A. ""Al"" Exendine",1935,1467.3913000552,944
"Albert Barron",1924,NA,NA
"Albert Berg",1887,NA,NA
"Albert Choate",1938,1489.74581288228,930
"Albert Choate",1939,1472.38720019791,987
"Albert Choate",1940,1471.01815399258,1005
"Albert Choate",1941,1477.91011859263,1001
"Albert Choate",1942,1473.94084950972,1039
"Albert Choate",1946,1471.87535268092,1091
"Albert E. Hernstein",1905,1537.36200206699,11
"Albert E. Herrnstein",1906,1492.23168278965,336
"Albert E. Herrnstein",1907,1486.53610067317,385
"Albert E. Herrnstein",1908,1495.1111685254,357
"Albert E. Herrnstein",1909,1500.76515048468,117
"Albert Elmore",1931,NA,NA
"Albert Elmore",1932,NA,NA
"Albert Elmore",1933,NA,NA
"Albert Elmore",1934,1509.77755699718,49
"Albert Elmore",1935,1526.44016757877,31
"Albert Elmore",1936,1507.57010394874,56
"Albert Elmore",1937,1505.13570311712,67
"Albert Hanson",1899,NA,NA
"Albert P. Kawal",1949,1493.6184303458,1075
"Albert P. Kawal",1950,1504.06218220441,87
"Albert P. Kawal",1951,1502.80147739987,96
"Albert P. Kawal",1952,1462.61994573079,1210
"Albert P. Kawal",1953,1473.1292301564,1209
"Albert P. Kawal",1954,1460.06415438958,1234
"Albert P. Simmons",1894,1490.26558143203,63
"Albert P. Simmons",1895,1512.5890349894,16
"Alden Knipe",1898,1511.12131936805,20
"Alden Knipe",1899,1535.04119836188,5
"Alden Knipe",1900,1525.90126278924,13
"Alden Knipe",1901,1500.21914837648,103
"Alden Knipe",1902,1475.12427700932,281
"Alex Agase",1964,1477.41688569625,1346
"Alex Agase",1965,1476.34820753019,1350
"Alex Agase",1966,1459.40411111051,1378
"Alex Agase",1967,1443.80922308562,1410
"Alex Agase",1968,1403.68480193757,1433
"Alex Agase",1969,1418.25244847157,1449
"Alex Agase",1970,1479.90108144292,1404
"Alex Agase",1971,1524.73958106788,40
"Alex Agase",1972,1453.05983697276,1474
"Alex Agase",1973,1464.78975674555,1478
"Alex Agase",1974,1473.4427718087,1478
"Alex Agase",1975,1473.01289436107,1491
"Alex Agase",1976,1478.7927320561,1493
"Alex Wood",2014,1471.7026112038,2044
"Alex Yunevich",1934,1500.9180198025,94
"Alex Yunevich",1935,1482.29439162173,916
"Alex Yunevich",1936,1468.81721369426,950
"Alexander Jerrems",1896,1509.1995210977,26
"Alexander Jerrems",1897,1468.70041675785,142
"Alexander S. Lilley",1889,NA,NA
"Alexander S. Lilley",1890,NA,NA
"Alexander S. Lilley",1891,NA,NA
"Alfred B. Miles",1913,NA,NA
"Alfred B. Miles",1914,1510,39
"Alfred B. Miles",1915,1497.29540304524,494
"Alfred B. Miles",1916,1497.97155228393,500
