Coach,Year,Rating,Rank,Team,Win,Loss,Tie,Pct,PF,PA,Delta,Job_End_Category,Job_End_Performance,avg_team_elo,resid_elo,years_coached,Max,Num_Teams
Andy McCollum,1999,1430.8477969215,1854,Middle Tennessee St.,3,8,0,0.27273,272,379,-107,5,1,1495.361545872274,-64.51374895077402,0,6,1
Andy McCollum,2000,1471.86913936778,1823,Middle Tennessee St.,6,5,0,0.54545,350,316,34,5,1,1495.361545872274,-23.492406504494056,1,6,1
Andy McCollum,2001,1515.5354962125,79,Middle Tennessee St.,8,3,0,0.72727,408,286,122,5,1,1495.361545872274,20.17395034022593,2,6,1
Andy McCollum,2002,1488.56448230013,1815,Middle Tennessee St.,4,8,0,0.33333,297,332,-35,5,1,1495.361545872274,-6.797063572143998,3,6,1
Andy McCollum,2003,1454.58340298087,1891,Middle Tennessee St.,4,8,0,0.33333,332,375,-43,5,1,1495.361545872274,-40.77814289140406,4,6,1
Andy McCollum,2004,1450.07922000314,1904,Middle Tennessee St.,5,6,0,0.45455,269,293,-24,5,1,1495.361545872274,-45.282325869133956,5,6,1
Andy McCollum,2005,1436.9453256938,1934,Middle Tennessee St.,4,7,0,0.36364,210,206,4,5,1,1495.361545872274,-58.41622017847408,6,6,1
Art Briles,2003,1502.45197591629,103,Houston (TX),7,6,0,0.53846,448,468,-20,2,0,1515.882502562869,-13.430526646578983,0,12,2
Art Briles,2004,1476.9750138513,1873,Houston (TX),3,8,0,0.27273,230,354,-124,2,0,1515.882502562869,-38.90748871156893,1,12,2
Art Briles,2005,1473.57947300164,1891,Houston (TX),6,6,0,0.5,337,324,13,2,0,1515.882502562869,-42.30302956122887,2,12,2
Art Briles,2006,1529.76813260002,54,Houston (TX),10,4,0,0.71429,462,329,133,2,0,1515.882502562869,13.885630037151032,3,12,2
Art Briles,2007,1523.78315949112,65,Houston (TX),8,4,0,0.66667,436,359,77,2,0,1515.882502562869,7.90065692825101,4,12,2
Art Briles,2008,1484.65292193934,1907,Baylor (TX),4,8,0,0.33333,336,352,-16,0,NA,1500.3997998981704,-15.746877958830282,5,12,2
Art Briles,2009,1451.38877169371,1983,Baylor (TX),4,8,0,0.33333,249,327,-78,0,NA,1500.3997998981704,-49.011028204460445,6,12,2
Art Briles,2010,1491.7349418654,1909,Baylor (TX),7,6,0,0.53846,405,396,9,0,NA,1500.3997998981704,-8.664858032770326,7,12,2
