"date","coach","coach2","coach_win","coach_margin","year"
-25604,"Charles M. ""Doc"" Hollister","Alpha P. Jamison",1,29,1899
-25604,"M.G. Clarke","H.H. Collier",1,32,1899
-25602,"W.A. Murray","H.H. Collier",1,22,1899
-25599,"Stuart Forbes","Frederick M. Irish",0,-9,1899
-25599,"R.H. Hamilton","W.A. Murray",0,-33,1899
-25599,"Garrett Cochran","B.C. ""Burr"" Chamberlain",1,30,1899
-25599,"Walter M. Riggs","Mr. Collier",1,36,1899
-25599,"W.J. Forbes","Justus F. Soule",1,12,1899
-25599,"Gordon Saussy","William A. ""Billy"" Reynolds",0,-5,1899
-25599,"George A. Huff","Alden Knipe",0,-58,1899
-25599,"James H. Horne","Alpha P. Jamison",1,12,1899
-25599,"Fielding H. ""Hurry Up"" Yost","Ernest Cleveland ""E.C."" White",1,28,1899
-25599,"John P. Gregg","M.G. Clarke",0,-29,1899
-25599,"Gustave Ferbert","Phillip ""Phil"" King",0,-12,1899
-25599,"W.H. Lyon","H.H. Collier",1,15,1899
-25599,"Frank W. Simpson","Highland Stickney",1,38,1899
-25597,"Herman J. Koehler","Richard ""Bill"" Armstrong",1,12,1899
-25597,"John P. Gregg","W.A. Murray",0,-52,1899
-25591,"John P. Gregg","H.H. Collier",1,38,1899
-25296,"Daniel A. ""Dan"" Reed","W.H. Kiler",1,14,1900
-25295,"William N. ""Pop"" Golden","Dr. M. Roy Jackson",1,12,1900
-25289,"Herman J. Koehler","William N. ""Pop"" Golden",0,0,1900
-25289,"C.E. Woodruff","Henry L. ""Doc"" Williams",0,-27,1900
-25289,"Z.N. Estes","James L. Crane",0,-6,1900
-25289,"Karl Core","Dr. John B.C. Eckstorm",0,-20,1900
-25285,"Vernon L. Parrington","Samuel Huston Thompson",0,-26,1900
-25282,"Daniel A. ""Dan"" Reed","Dr. John B.C. Eckstorm",0,-29,1900
-25282,"James H. Horne","Charles M. ""Doc"" Hollister",0,-12,1900
-25282,"C.E. Woodruff","Walter C. ""Bummy"" Booth",0,-30,1900
-25282,"Samuel Huston Thompson","James L. Crane",1,22,1900
-25280,"Theron W. Mortimer","George E. Toomey",1,29,1900
-25275,"Daniel A. ""Dan"" Reed","Pat O'Dea",0,-58,1900
-25275,"E.E. Jones","I.O. Hunt",1,5,1900
-25275,"Frederick L. ""Fred"" Smith","Charles M. ""Doc"" Hollister",0,0,1900
-25275,"Langdon ""Biff"" Lea","Alpha P. Jamison",1,5,1900
-25270,"James H. Horne","Pat O'Dea",1,6,1900
-25270,"Dr. John McKee","Dr. Davis",0,-16,1900
-25269,"M. Griffin","Z.N. Estes",1,7,1900
-25268,"No Coach","Dr. M. Roy Jackson",0,-17,1900
-25268,"Frederick L. ""Fred"" Smith","Langdon ""Biff"" Lea",0,-12,1900
-25268,"William A. ""Billy"" Reynolds","Dr. Davis",0,0,1900
-25268,"Samuel Huston Thompson","W.A. Murray",1,5,1900
-25263,"John W. Heisman","I.O. Hunt",1,51,1900
-25261,"M. Griffin","H.T. Summersgill",0,-6,1900
-25261,"Daniel A. ""Dan"" Reed","Alonzo Edwin Branch",1,4,1900
-25261,"T.D. Knowles","Frederick W. ""Fred"" Murphy",0,-11,1900
-25261,"Frederick L. ""Fred"" Smith","Alpha P. Jamison",1,12,1900
-25261,"James H. Horne","Langdon ""Biff"" Lea",0,-12,1900
-25261,"Henry L. ""Doc"" Williams","Phillip ""Phil"" King",1,1,1900
-25261,"William A. ""Billy"" Reynolds","James L. Crane",1,48,1900
-25259,"David Lewis Fultz","Walter C. ""Bummy"" Booth",0,-12,1900
-25257,"Herman J. Koehler","Michael F. Daly",1,23,1900
-25254,"John W. Heisman","E.E. Jones",1,34,1900
-25254,"Theron W. Mortimer","William McMurray",1,4,1900
-25254,"Frederick L. ""Fred"" Smith","Henry L. ""Doc"" Williams",0,-23,1900
-25254,"Alden Knipe","Langdon ""Biff"" Lea",1,23,1900
-25254,"Garrett Cochran","William N. ""Pop"" Golden",1,44,1900
-25254,"Dr. John McKee","I.O. Hunt",0,-12,1900
-25254,"Pat O'Dea","Phillip ""Phil"" King",0,-54,1900
-25254,"Lawrence Kaarsberg","Fielding H. ""Hurry Up"" Yost",0,-34,1900
-25249,"Addison W. Kelly","James Hopper",1,32,1900
-25247,"M. Griffin","Walter Hudson ""Billy"" Watkins",0,-48,1900
-25247,"Addison W. Kelly","Lawrence Kaarsberg",0,-2,1900
-25247,"E.E. Jones","William A. ""Billy"" Reynolds",0,-55,1900
-25247,"Frederick L. ""Fred"" Smith","James H. Horne",0,0,1900
-25247,"Lawrence William ""Larry"" Boynton","Walter C. ""Bummy"" Booth",0,-12,1900
-25247,"Edmond A. Chavanne","H.T. Summersgill",0,-29,1900
-25247,"Langdon ""Biff"" Lea","Pat O'Dea",1,7,1900
-25247,"Henry L. ""Doc"" Williams","Charles M. ""Doc"" Hollister",1,21,1900
-25247,"David Lewis Fultz","Samuel Huston Thompson",0,-6,1900
-25247,"James Hopper","Fielding H. ""Hurry Up"" Yost",1,6,1900
-25247,"Harvey R. Holmes","Willard Langton",1,21,1900
-25240,"John W. Heisman","Dr. Davis",1,7,1900
-25240,"George E. Toomey","William McMurray",1,16,1900
-25240,"Frederick L. ""Fred"" Smith","Phillip ""Phil"" King",0,-27,1900
-25240,"Langdon ""Biff"" Lea","Dr. John B.C. Eckstorm",0,0,1900
-25235,"M. Griffin","John W. Heisman",0,-35,1900
-25235,"Addison W. Kelly","Fielding H. ""Hurry Up"" Yost",0,-5,1900
