"Coach","Year","Rating","Rank"
"Brian Kelly",2006,1551.37893995001,25
"Brian Kelly",2007,1568.49585855525,27
"Brian Kelly",2008,1598.42372348761,17
"Brian Kelly",2009,1646.02376602466,7
"Brian Kelly",2010,1627.18558619668,11
"Brian Kelly",2011,1606.94166017217,20
"Brian Kelly",2012,1670.7272459521,5
"Brian Kelly",2013,1656.97575468584,7
"Brian Kelly",2014,1619.77169554869,14
"Brian Kelly",2015,1639.93623221837,11
"Brian Polian",2013,1452.19695771893,237
"Brian Polian",2014,1464.01113616435,242
"Brian Polian",2015,1478.50994115133,238
"Brian VanGorder",2006,1489.55235117601,73
"Brian Wright",2013,1490.32805834394,167
"Bronco Mendenhall",2005,1491.76749962629,69
"Bronco Mendenhall",2006,1569.61556625933,21
"Bronco Mendenhall",2007,1608.64175593793,12
"Bronco Mendenhall",2008,1605.41906938412,15
"Bronco Mendenhall",2009,1641.32554118015,11
"Bronco Mendenhall",2010,1586.8680338226,23
"Bronco Mendenhall",2011,1603.43238411131,22
"Bronco Mendenhall",2012,1574.54986340981,32
"Bronco Mendenhall",2013,1565.04096293619,39
"Bronco Mendenhall",2014,1548.69716730426,46
"Bronco Mendenhall",2015,1566.83223908346,40
"Bryan Harsin",2013,1520.60341268171,83
"Bryan Harsin",2014,1607.70943814668,21
"Bryan Harsin",2015,1587.56180131097,29
"Bryan McClendon",2015,1588.66354427213,27
"Butch Davis",2007,1455.24344285936,127
"Butch Davis",2008,1500.09759912799,84
"Butch Davis",2009,1523.09709378294,55
"Butch Davis",2010,1530.3500841176,56
"Butch Jones",2007,1518.26873278023,57
"Butch Jones",2008,1509.40737543641,66
"Butch Jones",2009,1582.00112320213,22
"Butch Jones",2010,1502.15010935085,92
"Butch Jones",2011,1559.33142720221,40
"Butch Jones",2012,1577.5819871149,29
"Butch Jones",2013,1534.04055429221,63
"Butch Jones",2014,1528.17921875389,76
"Butch Jones",2015,1590.13086143292,26
"Carl Pelini",2012,1451.03113180217,223
"Carl Pelini",2013,1463.47852773826,231
"Chad Morris",2015,1444.74358212935,278
"Chan Gailey",2005,1516.17532683052,41
"Chan Gailey",2006,1535.54561689736,40
"Chan Gailey",2007,1521.86667789263,56
"Charley Molnar",2012,1400.80493220312,255
"Charley Molnar",2013,1367.72336174375,293
"Charlie Partridge",2014,1449.348716581,261
"Charlie Partridge",2015,1419.54420951494,306
"Charlie Strong",2010,1497.38723191297,102
"Charlie Strong",2011,1494.21665558185,123
"Charlie Strong",2012,1573.15671923192,33
"Charlie Strong",2013,1634.92005361457,14
"Charlie Strong",2014,1584.16671749145,31
"Charlie Strong",2015,1542.4287258268,57
"Charlie Weatherbie",2005,1496.42668766746,63
"Charlie Weatherbie",2006,1447.36375836711,112
"Charlie Weatherbie",2007,1458.63259375175,122
"Charlie Weatherbie",2008,1432.22908770823,149
"Charlie Weatherbie",2009,1445.88739399872,160
